Stage wall time (average ms per step):
embeddings                   20.355
encoder.layers.0             17.700
encoder.layers.1              4.452
encoder.layers.2              4.371
encoder.layers.3              4.372
encoder.layers.4              4.394
encoder.layers.5              4.345
encoder.layers.6              4.331
encoder.layers.7              4.322
encoder.layers.8              4.320
encoder.layers.9              4.329
encoder.layers.10             4.330
encoder.layers.11             4.319
layernorm                     0.181
classifier                    1.717
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamIsCapturing         0.05%     174.069us         0.05%     174.069us       1.243us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           140  
                                  cudaStreamGetPriority         0.00%       5.592us         0.00%       5.592us       0.559us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                       cudaDeviceGetStreamPriorityRange         0.00%       5.341us         0.00%       5.341us       0.534us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                       cudaLaunchKernel         2.03%       6.809ms         2.03%       6.809ms       8.511us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           800  
                                    cudaPeekAtLastError         0.00%       3.204us         0.00%       3.204us       0.160us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            20  
                                    cudaLaunchKernelExC         0.02%      62.499us         0.02%      62.499us       6.250us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                          aten::reshape         0.40%       1.345ms         0.57%       1.907ms       2.243us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           850  
                                             aten::view         0.57%       1.896ms         0.57%       1.896ms       0.777us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2440  
                                          aten::flatten         0.01%      27.732us         0.01%      36.460us       3.646us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            10  
                                        aten::transpose         1.18%       3.937ms         1.59%       5.337ms       3.140us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1700  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 334.728ms
Self CUDA time total: 343.071ms

