epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6321.48,1.14788,2.33388,0.05706,0.58162,0.44446,0.46899,0.32775,1.02505,1.85879,0.06732,0.0143774,0.00479247,0.0143774,0.00479247,0.0143774,0.00479247,0.0143774,0.00479247
31,6531.69,1.153,2.32977,0.05678,0.58336,0.44412,0.46968,0.32824,1.02464,1.85883,0.06723,0.0143146,0.00477152,0.0143146,0.00477152,0.0143146,0.00477152,0.0143146,0.00477152
32,6742.09,1.14285,2.33811,0.05731,0.58712,0.44369,0.47002,0.32859,1.02461,1.8585,0.06722,0.0142517,0.00475057,0.0142517,0.00475057,0.0142517,0.00475057,0.0142517,0.00475057
33,6954,1.15598,2.33743,0.05715,0.58437,0.44493,0.47072,0.32946,1.0245,1.8583,0.0673,0.0141889,0.00472962,0.0141889,0.00472962,0.0141889,0.00472962,0.0141889,0.00472962
34,7166.03,1.1458,2.32864,0.05677,0.58819,0.44402,0.47117,0.33023,1.02459,1.86039,0.06723,0.014126,0.00470867,0.014126,0.00470867,0.014126,0.00470867,0.014126,0.00470867
35,7375.7,1.14502,2.32781,0.05667,0.58606,0.44528,0.47173,0.33049,1.02452,1.86002,0.06723,0.0140632,0.00468772,0.0140632,0.00468772,0.0140632,0.00468772,0.0140632,0.00468772
36,7585.62,1.15449,2.32427,0.05663,0.58788,0.44511,0.47219,0.33096,1.02442,1.86006,0.06724,0.0140003,0.00466677,0.0140003,0.00466677,0.0140003,0.00466677,0.0140003,0.00466677
37,7796.48,1.15419,2.32808,0.05693,0.5871,0.4453,0.47264,0.33142,1.02436,1.85963,0.06723,0.0139375,0.00464582,0.0139375,0.00464582,0.0139375,0.00464582,0.0139375,0.00464582
38,8007.43,1.14528,2.31059,0.05719,0.58769,0.44475,0.47254,0.33134,1.02494,1.85868,0.06729,0.0138746,0.00462487,0.0138746,0.00462487,0.0138746,0.00462487,0.0138746,0.00462487
39,8217.71,1.14713,2.32134,0.05693,0.59601,0.44164,0.47334,0.33182,1.02481,1.8587,0.06719,0.0138118,0.00460392,0.0138118,0.00460392,0.0138118,0.00460392,0.0138118,0.00460392
40,8428.88,1.15242,2.33028,0.05662,0.59532,0.44443,0.47317,0.33187,1.02474,1.85863,0.06715,0.0137489,0.00458298,0.0137489,0.00458298,0.0137489,0.00458298,0.0137489,0.00458298
41,8639.13,1.1586,2.32337,0.05623,0.59762,0.44326,0.47355,0.33179,1.02451,1.85728,0.06707,0.0136861,0.00456203,0.0136861,0.00456203,0.0136861,0.00456203,0.0136861,0.00456203
42,8850.13,1.15843,2.33492,0.05692,0.60223,0.44188,0.47413,0.33248,1.02403,1.85721,0.06697,0.0136232,0.00454108,0.0136232,0.00454108,0.0136232,0.00454108,0.0136232,0.00454108
43,9061.81,1.15145,2.32778,0.05613,0.59993,0.44432,0.47443,0.33261,1.02399,1.85699,0.06696,0.0135604,0.00452013,0.0135604,0.00452013,0.0135604,0.00452013,0.0135604,0.00452013
44,9271.08,1.13819,2.30036,0.05668,0.60042,0.44278,0.47486,0.33289,1.0242,1.85629,0.067,0.0134975,0.00449918,0.0134975,0.00449918,0.0134975,0.00449918,0.0134975,0.00449918
45,9481.09,1.14732,2.3155,0.05617,0.59772,0.44243,0.47554,0.33363,1.02376,1.8549,0.06691,0.0134347,0.00447823,0.0134347,0.00447823,0.0134347,0.00447823,0.0134347,0.00447823
46,9692.09,1.14915,2.31509,0.05666,0.60283,0.43949,0.47518,0.33333,1.02364,1.85432,0.06691,0.0133718,0.00445728,0.0133718,0.00445728,0.0133718,0.00445728,0.0133718,0.00445728
47,9902.27,1.14759,2.31443,0.05647,0.60268,0.44047,0.47588,0.33385,1.02441,1.85047,0.06701,0.013309,0.00443633,0.013309,0.00443633,0.013309,0.00443633,0.013309,0.00443633
48,10113.9,1.15005,2.30336,0.05625,0.60388,0.44092,0.4766,0.33422,1.02448,1.84791,0.06702,0.0132461,0.00441538,0.0132461,0.00441538,0.0132461,0.00441538,0.0132461,0.00441538
49,10325.8,1.14861,2.30427,0.05633,0.6061,0.43932,0.47698,0.33457,1.02357,1.84792,0.06694,0.0131833,0.00439443,0.0131833,0.00439443,0.0131833,0.00439443,0.0131833,0.00439443
50,10539.4,1.14746,2.32071,0.0565,0.60821,0.43831,0.47748,0.33493,1.02311,1.84725,0.06685,0.0131204,0.00437348,0.0131204,0.00437348,0.0131204,0.00437348,0.0131204,0.00437348
51,10749.8,1.14958,2.31408,0.05729,0.61035,0.43799,0.47848,0.33541,1.02306,1.84512,0.06691,0.0130576,0.00435253,0.0130576,0.00435253,0.0130576,0.00435253,0.0130576,0.00435253
52,10960.3,1.15203,2.30574,0.05694,0.60921,0.44133,0.4793,0.33646,1.02348,1.84206,0.0669,0.0129947,0.00433158,0.0129947,0.00433158,0.0129947,0.00433158,0.0129947,0.00433158
53,11167.7,1.14514,2.28948,0.05625,0.61355,0.44014,0.48048,0.33692,1.02297,1.84053,0.06685,0.0129319,0.00431063,0.0129319,0.00431063,0.0129319,0.00431063,0.0129319,0.00431063
54,11378.3,1.15513,2.30078,0.05633,0.60777,0.44122,0.48046,0.33696,1.02261,1.84051,0.06674,0.0128691,0.00428968,0.0128691,0.00428968,0.0128691,0.00428968,0.0128691,0.00428968
55,11587.8,1.15248,2.3048,0.05649,0.60422,0.44311,0.48031,0.33699,1.0222,1.83964,0.06678,0.0128062,0.00426873,0.0128062,0.00426873,0.0128062,0.00426873,0.0128062,0.00426873
56,11799.5,1.1471,2.29006,0.05635,0.61008,0.44086,0.48063,0.33737,1.02194,1.83769,0.06668,0.0127434,0.00424779,0.0127434,0.00424779,0.0127434,0.00424779,0.0127434,0.00424779
57,12011.5,1.14333,2.29826,0.05639,0.60953,0.44195,0.48109,0.33766,1.02114,1.83637,0.06658,0.0126805,0.00422684,0.0126805,0.00422684,0.0126805,0.00422684,0.0126805,0.00422684
58,12223.1,1.14271,2.29289,0.05649,0.60761,0.44294,0.48093,0.33781,1.02149,1.83382,0.0666,0.0126177,0.00420589,0.0126177,0.00420589,0.0126177,0.00420589,0.0126177,0.00420589
59,12432.9,1.14416,2.30228,0.05626,0.61398,0.44102,0.48141,0.33807,1.02162,1.83302,0.06666,0.0125548,0.00418494,0.0125548,0.00418494,0.0125548,0.00418494,0.0125548,0.00418494
60,12644.8,1.14479,2.28905,0.05604,0.61435,0.44152,0.48185,0.33836,1.0212,1.83162,0.06659,0.012492,0.00416399,0.012492,0.00416399,0.012492,0.00416399,0.012492,0.00416399
61,12855.6,1.14871,2.29564,0.05566,0.61984,0.44039,0.48207,0.3384,1.02123,1.82993,0.06664,0.0124291,0.00414304,0.0124291,0.00414304,0.0124291,0.00414304,0.0124291,0.00414304
62,13066.1,1.13832,2.27995,0.05562,0.6154,0.44244,0.48251,0.33874,1.02157,1.82796,0.06662,0.0123663,0.00412209,0.0123663,0.00412209,0.0123663,0.00412209,0.0123663,0.00412209
63,13275.2,1.14532,2.28295,0.05562,0.61241,0.4445,0.4832,0.33911,1.02092,1.82838,0.0666,0.0123034,0.00410114,0.0123034,0.00410114,0.0123034,0.00410114,0.0123034,0.00410114
64,13484.4,1.14503,2.28877,0.05631,0.61356,0.44524,0.48329,0.33932,1.02078,1.82778,0.06658,0.0122406,0.00408019,0.0122406,0.00408019,0.0122406,0.00408019,0.0122406,0.00408019
65,13694.5,1.14652,2.28217,0.05587,0.61343,0.44538,0.48308,0.33911,1.0204,1.82682,0.06649,0.0121777,0.00405924,0.0121777,0.00405924,0.0121777,0.00405924,0.0121777,0.00405924
66,13905.5,1.14332,2.27547,0.05584,0.61185,0.44569,0.48359,0.33951,1.01998,1.82683,0.0664,0.0121149,0.00403829,0.0121149,0.00403829,0.0121149,0.00403829,0.0121149,0.00403829
67,14117.7,1.14274,2.28606,0.05561,0.61056,0.44674,0.48399,0.33981,1.01955,1.82717,0.06638,0.012052,0.00401734,0.012052,0.00401734,0.012052,0.00401734,0.012052,0.00401734
68,14330,1.14666,2.28752,0.05588,0.60714,0.4474,0.48401,0.33989,1.01884,1.82604,0.06635,0.0119892,0.00399639,0.0119892,0.00399639,0.0119892,0.00399639,0.0119892,0.00399639
69,14541,1.13701,2.28646,0.05628,0.6124,0.44509,0.48442,0.3403,1.01864,1.82454,0.0663,0.0119263,0.00397544,0.0119263,0.00397544,0.0119263,0.00397544,0.0119263,0.00397544
