epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,33243.6,1.51788,2.27932,0.01132,0.52222,0.3449,0.36614,0.25043,1.42835,1.96418,0.01351,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,34296.9,1.53249,2.28884,0.01124,0.52644,0.34598,0.36961,0.25299,1.42668,1.95298,0.01349,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,35335.9,1.53043,2.28136,0.01128,0.52564,0.34743,0.37154,0.2545,1.42254,1.94474,0.01341,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,36413.6,1.53167,2.28017,0.01126,0.52674,0.35165,0.3737,0.25622,1.42011,1.9373,0.01335,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,37456.6,1.52724,2.2585,0.01117,0.5242,0.35516,0.37756,0.25895,1.41855,1.92894,0.01334,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,38495.9,1.51428,2.2666,0.01117,0.52334,0.35629,0.37853,0.2598,1.41739,1.9217,0.01332,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,39540,1.52188,2.24612,0.01124,0.52872,0.35806,0.38085,0.26146,1.41613,1.91518,0.01331,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,40595.5,1.50235,2.23523,0.01111,0.53362,0.35998,0.38333,0.26333,1.41555,1.9075,0.0133,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,41634.3,1.51492,2.23539,0.01104,0.53095,0.36434,0.38439,0.26436,1.41324,1.90107,0.01325,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,42670.9,1.52488,2.23033,0.01105,0.53836,0.36327,0.38668,0.26586,1.41071,1.89531,0.01323,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
